doc_id,source_file,candidates_seen,demoted_count,table_caption_before,table_caption_after,figure_caption_before,figure_caption_after,skipped_eval_only_noise,skipped_uncertain,skipped_manual_pdf_check,skipped_rule_guard
doc_0182,doc_0182.pdf,0,0,2,2,5,5,0,0,0,0
doc_0184,doc_0184.pdf,0,0,5,5,9,9,0,0,0,0
doc_0185,doc_0185.pdf,0,0,1,1,7,7,0,0,0,0
doc_0186,doc_0186.pdf,0,0,1,1,6,6,0,0,0,0
doc_0187,doc_0187.pdf,0,0,1,1,3,3,0,0,0,0
doc_0188,doc_0188.pdf,0,0,6,6,5,5,0,0,0,0
doc_0189,doc_0189.pdf,0,0,0,0,5,5,0,0,0,0
doc_0190,doc_0190.pdf,2,0,5,5,9,9,2,0,0,0
doc_0191,doc_0191.pdf,0,0,1,1,7,7,0,0,0,0
doc_0193,doc_0193.pdf,0,0,1,1,7,7,0,0,0,0
doc_0194,doc_0194.pdf,0,0,1,1,7,7,0,0,0,0
doc_0197,doc_0197.pdf,0,0,1,1,5,5,0,0,0,0
doc_0198,doc_0198.pdf,1,0,2,2,7,7,1,0,0,0
doc_0199,doc_0199.pdf,0,0,1,1,17,17,0,0,0,0
doc_0200,doc_0200.pdf,0,0,0,0,0,0,0,0,0,0
doc_0201,doc_0201.pdf,0,0,1,1,4,4,0,0,0,0
doc_0203,doc_0203.pdf,0,0,2,2,6,6,0,0,0,0
doc_0204,doc_0204.pdf,0,0,0,0,0,0,0,0,0,0
doc_0205,doc_0205.pdf,0,0,0,0,4,4,0,0,0,0
doc_0206,doc_0206.pdf,0,0,0,0,0,0,0,0,0,0
doc_0207,doc_0207.pdf,0,0,1,1,0,0,0,0,0,0
doc_0208,doc_0208.pdf,0,0,2,2,2,2,0,0,0,0
doc_0209,doc_0209.pdf,0,0,0,0,0,0,0,0,0,0
doc_0210,doc_0210.pdf,0,0,2,2,2,2,0,0,0,0
doc_0211,doc_0211.pdf,0,0,0,0,4,4,0,0,0,0
doc_0213,doc_0213.pdf,0,0,0,0,0,0,0,0,0,0
doc_0214,doc_0214.pdf,0,0,0,0,7,7,0,0,0,0
doc_0215,doc_0215.pdf,0,0,0,0,1,1,0,0,0,0
doc_0216,doc_0216.pdf,0,0,0,0,1,1,0,0,0,0
doc_0217,doc_0217.pdf,0,0,5,5,10,10,0,0,0,0
doc_0218,doc_0218.pdf,7,0,1,1,7,7,7,0,0,0
doc_0219,doc_0219.pdf,1,0,3,3,2,2,0,1,0,0
doc_0220,doc_0220.pdf,0,0,0,0,0,0,0,0,0,0
doc_0221,doc_0221.pdf,0,0,0,0,5,5,0,0,0,0
doc_0222,doc_0222.pdf,2,0,2,2,4,4,2,0,0,0
doc_0223,doc_0223.pdf,0,0,0,0,0,0,0,0,0,0
doc_0224,doc_0224.pdf,0,0,0,0,4,4,0,0,0,0
doc_0225,doc_0225.pdf,0,0,0,0,4,4,0,0,0,0
doc_0226,doc_0226.pdf,0,0,3,3,9,9,0,0,0,0
doc_0227,doc_0227.pdf,0,0,1,1,5,5,0,0,0,0
doc_0228,doc_0228.pdf,0,0,0,0,0,0,0,0,0,0
doc_0229,doc_0229.pdf,0,0,1,1,5,5,0,0,0,0
doc_0230,doc_0230.pdf,0,0,1,1,8,8,0,0,0,0
doc_0231,doc_0231.pdf,0,0,2,2,6,6,0,0,0,0
doc_0232,doc_0232.pdf,0,0,1,1,6,6,0,0,0,0
doc_0233,doc_0233.pdf,0,0,2,2,4,4,0,0,0,0
doc_0234,doc_0234.pdf,0,0,4,4,3,3,0,0,0,0
doc_0235,doc_0235.pdf,0,0,0,0,5,5,0,0,0,0
doc_0236,doc_0236.pdf,0,0,1,1,5,5,0,0,0,0
doc_0237,doc_0237.pdf,0,0,2,2,6,6,0,0,0,0
doc_0238,doc_0238.pdf,0,0,3,3,4,4,0,0,0,0
doc_0239,doc_0239.pdf,0,0,0,0,0,0,0,0,0,0
doc_0240,doc_0240.pdf,1,0,3,3,2,2,1,0,0,0
doc_0241,doc_0241.pdf,0,0,1,1,4,4,0,0,0,0
doc_0242,doc_0242.pdf,0,0,0,0,4,4,0,0,0,0
doc_0243,doc_0243.pdf,0,0,2,2,0,0,0,0,0,0
doc_0244,doc_0244.pdf,0,0,1,1,5,5,0,0,0,0
doc_0245,doc_0245.pdf,0,0,0,0,7,7,0,0,0,0
doc_0246,doc_0246.pdf,0,0,1,1,8,8,0,0,0,0
doc_0247,doc_0247.pdf,0,0,0,0,1,1,0,0,0,0
doc_0248,doc_0248.pdf,0,0,0,0,5,5,0,0,0,0
doc_0249,doc_0249.pdf,0,0,3,3,7,7,0,0,0,0
doc_0250,doc_0250.pdf,2,0,0,0,2,2,2,0,0,0
doc_0251,doc_0251.pdf,0,0,2,2,6,6,0,0,0,0
doc_0252,doc_0252.pdf,0,0,0,0,9,9,0,0,0,0
doc_0253,doc_0253.pdf,0,0,0,0,9,9,0,0,0,0
doc_0254,doc_0254.pdf,2,0,3,3,4,4,1,1,0,0
doc_0255,doc_0255.pdf,0,0,0,0,9,9,0,0,0,0
doc_0256,doc_0256.pdf,0,0,1,1,2,2,0,0,0,0
doc_0257,doc_0257.pdf,1,0,0,0,1,1,0,0,0,0
doc_0258,doc_0258.pdf,0,0,2,2,1,1,0,0,0,0
doc_0259,doc_0259.pdf,0,0,0,0,6,6,0,0,0,0
doc_0260,doc_0260.pdf,0,0,2,2,6,6,0,0,0,0
doc_0261,doc_0261.pdf,0,0,4,4,6,6,0,0,0,0
doc_0262,doc_0262.pdf,0,0,0,0,4,4,0,0,0,0
doc_0263,doc_0263.pdf,0,0,1,1,1,1,0,0,0,0
doc_0264,doc_0264.pdf,0,0,0,0,4,4,0,0,0,0
doc_0265,doc_0265.pdf,0,0,0,0,6,6,0,0,0,0
doc_0266,doc_0266.pdf,0,0,4,4,9,9,0,0,0,0
doc_0267,doc_0267.pdf,0,0,0,0,6,6,0,0,0,0
doc_0268,doc_0268.pdf,3,0,2,2,2,2,2,0,0,0
doc_0269,doc_0269.pdf,0,0,0,0,6,6,0,0,0,0
doc_0270,doc_0270.pdf,1,0,1,1,0,0,1,0,0,0
doc_0271,doc_0271.pdf,0,0,1,1,0,0,0,0,0,0
doc_0272,doc_0272.pdf,0,0,1,1,3,3,0,0,0,0
doc_0273,doc_0273.pdf,0,0,4,4,5,5,0,0,0,0
