doc_id,block_id,caption_text,protect_reason,found_block_type_after,found_text_after,preserved,source
doc_0176,p4_b0041,"TABLE 2 Plasmids used in this study Plasmids Description pCDFm T7 promoter, CloDF13 ori, Smr, modified in our lab pET24ma pET24ma‐futC pET24ma‐ PT7_futC (Nde/XhoI), Template for all PCRs of FutC mutants construction pC‐BCGW/pC‐BCGW‐SS pCDFm‐1 ‐ PT7_manC‐manB (NcoI/HindIII) + PT7_gmd‐wcaG (NdeI/EcoRV) pC‐BCGW‐SM Derivative of pCDFDuet‐1 with T7 promoter for manC‐manB and FC097a promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐SW Derivative of pCDFDuet‐1 with T7 promoter for manC‐manB and FC109b promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐MS Derivative of pCDFDuet‐1 with FC097 promoter for manC‐manB and T7 promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐MM Derivative of pCDFDuet‐1 with FC097 promoter for manC‐manB and FC097 promoter for gmd‐wcaG (modified in pC‐BCGW‐MW Derivative of pCDFDuet‐1 with FC097 promoter for manC‐manB and FC109 promoter for gmd‐wcaG (modified in pC‐BCGW‐WS Derivative of pCDFDuet‐1 with FC109 promoter for manC‐manB andT7 promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐WM Derivative of pCDFDuet‐1 with FC109 promoter for manC‐manB and FC097 promoter for gmd‐wcaG (modified in pC‐BCGW‐WW Derivative of pCDFDuet‐1 with FC109 promoter for manC‐manB and FC109 promoter for gmd‐wcaG (modified in aA mutant of T7 promoter exhibiting moderate expression strength compared with the wild‐ type T7 promoter. bA mutant of T7 promoter exhibiting very weak expression strength compared with the wild‐ type T7 promoter.",approved_eval_target_chunk,table_caption,"TABLE 2 Plasmids used in this study Plasmids Description pCDFm T7 promoter, CloDF13 ori, Smr, modified in our lab pET24ma pET24ma‐futC pET24ma‐ PT7_futC (Nde/XhoI), Template for all PCRs of FutC mutants construction pC‐BCGW/pC‐BCGW‐SS pCDFm‐1 ‐ PT7_manC‐manB (NcoI/HindIII) + PT7_gmd‐wcaG (NdeI/EcoRV) pC‐BCGW‐SM Derivative of pCDFDuet‐1 with T7 promoter for manC‐manB and FC097a promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐SW Derivative of pCDFDuet‐1 with T7 promoter for manC‐manB and FC109b promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐MS Derivative of pCDFDuet‐1 with FC097 promoter for manC‐manB and T7 promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐MM Derivative of pCDFDuet‐1 with FC097 promoter for manC‐manB and FC097 promoter for gmd‐wcaG (modified in pC‐BCGW‐MW Derivative of pCDFDuet‐1 with FC097 promoter for manC‐manB and FC109 promoter for gmd‐wcaG (modified in pC‐BCGW‐WS Derivative of pCDFDuet‐1 with FC109 promoter for manC‐manB andT7 promoter for gmd‐wcaG (modified in our lab) pC‐BCGW‐WM Derivative of pCDFDuet‐1 with FC109 promoter for manC‐manB and FC097 promoter for gmd‐wcaG (modified in pC‐BCGW‐WW Derivative of pCDFDuet‐1 with FC109 promoter for manC‐manB and FC109 promoter for gmd‐wcaG (modified in aA mutant of T7 promoter exhibiting moderate expression strength compared with the wild‐ type T7 promoter. bA mutant of T7 promoter exhibiting very weak expression strength compared with the wild‐ type T7 promoter.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0177,p2_b0023,Figure 1. Metabolic pathway of NeuAc in E.,short_caption_with_semantic_anchor,figure_caption,Figure 1. Metabolic pathway of NeuAc in E.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0177,p8_b0101,Figure 5. Production of NeuAc in a 3 L bioreactor.,short_caption_with_semantic_anchor,figure_caption,Figure 5. Production of NeuAc in a 3 L bioreactor.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0178,p2_b0032,"Figure 1. Metabolic pathway for de novo synthesis lactose, 2′-FL and 3-FL in E.",short_caption_with_semantic_anchor,figure_caption,"Figure 1. Metabolic pathway for de novo synthesis lactose, 2′-FL and 3-FL in E.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0178,p4_b0056,Figure 2. Effects of PTSGlc modification on cell growth and glucose transport.,short_caption_with_semantic_anchor,figure_caption,Figure 2. Effects of PTSGlc modification on cell growth and glucose transport.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0178,p5_b0062,Figure 3. Introduction of the lactose synthesis pathway in engineered E.,short_caption_with_semantic_anchor,figure_caption,Figure 3. Introduction of the lactose synthesis pathway in engineered E.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0178,p6_b0067,"Figure 4. Multiple sequence alignment of β-1,4-GalT from three bacterial sources.",short_caption_with_semantic_anchor,figure_caption,"Figure 4. Multiple sequence alignment of β-1,4-GalT from three bacterial sources.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0178,p7_b0078,Figure 6. Biosynthesis of 2′-FL and 3-FL by batch and fed-batch cultivation.,short_caption_with_semantic_anchor,figure_caption,Figure 6. Biosynthesis of 2′-FL and 3-FL by batch and fed-batch cultivation.,true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p3_b0029,"Table 1. Escherichia coli BL21 Star (DE3), E.",short_caption_with_semantic_anchor,table_caption,"Table 1. Escherichia coli BL21 Star (DE3), E.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
doc_0179,p3_b0035,"Table 1. Strains, genes, and plasmids used in the study.",short_caption_with_semantic_anchor,table_caption,"Table 1. Strains, genes, and plasmids used in the study.",true,/home/gmy/bio-agent-workspace/bge-service/reports/phase5d_caption_cleanup_audit/protected_short_captions.csv
