fixture_id,fixture_type,query_type,mapper_status,expected_mapper_status,formal_citation_allowed,debug_provenance_only,block_reason,warning_reason,expectation_pass
table_level_from_phase7m,table_level,table_lookup,mapped_with_warnings,mapped_with_warnings,false,true,,canonical_source_file_unresolved;production_ready_false_blocks_formal_citation;preview_only_blocks_formal_citation;value_bboxes_unavailable;binding_warning_level,true
row_level_from_phase7m,row_level,row_lookup,mapped_with_warnings,mapped_with_warnings,false,true,,canonical_source_file_unresolved;production_ready_false_blocks_formal_citation;preview_only_blocks_formal_citation;value_bboxes_unavailable;binding_warning_level,true
cell_group_from_phase7m,cell_group_level,metric_lookup,mapped_with_warnings,mapped_with_warnings,false,true,,canonical_source_file_unresolved;production_ready_false_blocks_formal_citation;preview_only_blocks_formal_citation;value_bboxes_unavailable;binding_warning_level,true
csv_source_file_sanitized,csv_source_file_sanitized,row_lookup,mapped_with_warnings,mapped_with_warnings,false,true,,canonical_source_file_unresolved;production_ready_false_blocks_formal_citation;preview_only_blocks_formal_citation;value_bboxes_unavailable;binding_warning_level,true
malformed_missing_table_id,malformed_missing_table_id,row_lookup,blocked,blocked,false,false,missing_table_id,,true
malformed_value_scope,malformed_value_scope,row_lookup,blocked,blocked,false,false,citation_scope_value_forbidden;invalid_citation_scope,,true
non_table_query_table_candidate,non_table_query_blocked,non_table_query,blocked,blocked,false,false,non_table_query_blocks_table_citation,,true
normal_chunk_not_mapped,normal_chunk_not_mapped,non_table_query,blocked,blocked,false,false,normal_chunk_not_table_evidence;non_table_query_blocks_table_citation,,true
